,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
ShareAmountCurrent,9000,9000,13170790000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,47755329000,47755329000,47755329000,47755329000,47755329000,47755329000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50333095000,50333095000,50333095000,50333095000,50333095000,50333095000,50333095000
WKCurrent,768111130,1000000000,5070,5180,5140,0,5470,5710,5220,0,4400,3920,3450,0,3970,1710,1650,0,1900,1920,1730,0,1620,1630,1580,2100,1420,1380,1410,1420,1450,1440,1560,1560,1480,1470,1520,1520,1510,1500,1570,1510,1620,1580,1670,1600,1250,1020,230
CWKCurrent,0,0,110,110,110,,100,100,110,,130,140,160,,140,320,330,,290,290,320,,340,340,350,260,390,400,390,390,380,380,350,350,370,370,360,360,360,370,350,360,340,350,330,340,440,540,2420
WKGrahamCurrent,-454555560,-320555560,350,470,30,0,-50,130,-450,0,-1620,-1960,-2300,0,-1600,-630,-710,0,-430,-400,-550,0,-720,-700,-730,-280,-160,-190,-160,-160,-220,-300,-100,-100,-220,-320,-310,-340,-410,-420,-380,-460,-280,-330,-260,-550,-390,-530,-850
CWKGrahamCurrent,,,1580,1160,15940,,,4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1000000000,1000000000,8910,9660,10680,11920,12800,13490,13920,14090,14140,13360,13770,13030,13030,5590,5520,5750,5700,5690,5680,5620,5850,6020,6250,6500,4380,4430,4420,4470,4580,4760,4840,5030,5270,5390,5500,5460,5440,5350,5370,5340,3400,3020,2670,3820,3670,3530,3490
CPCurrent,0,0,60,60,50,50,40,40,40,40,40,40,40,40,40,100,100,100,100,100,100,100,90,90,90,80,130,120,120,120,120,120,110,110,100,100,100,100,100,100,100,100,160,180,210,140,150,160,160
ZCurrent,-1777780,244000000,700,700,680,680,530,670,490,500,-620,-1500,-1220,-1650,-1850,-570,-580,-330,190,170,-20,-280,-270,-260,-20,150,90,60,40,30,40,80,90,90,-20,-40,-30,-40,70,80,100,40,120,80,90,100,-380,-560,-1430
CZCurrent,,0,790,780,800,810,1050,830,1110,1090,,,,,,,,,2900,3150,,,,,,3660,6210,9320,12860,18680,12970,7290,6350,6430,,,,,7500,6890,5400,14570,4720,6480,5870,5750,,,
ZOCurrent,452000000,699444440,760,790,730,820,910,1060,950,980,170,-530,-770,-1340,-1510,-550,-310,-70,420,400,240,80,-40,-10,100,210,130,110,140,120,180,210,280,290,170,160,140,110,220,210,210,160,210,230,210,140,-20,-130,-380
CZOCurrent,0,0,730,700,750,670,600,520,580,560,3320,,,,,,,,1300,1380,2340,7070,,,5420,2660,4120,4800,3940,4440,3120,2610,1970,1900,3250,3510,4000,5210,2490,2640,2620,3430,2560,2350,2650,3970,,,
EVCurrent,-149221670,1000000000,2580,3150,3280,550,4540,4840,4730,550,5080,5430,5040,550,3780,1940,1950,550,1730,1670,1800,550,1850,2000,1960,1690,1290,1320,1340,1470,1470,1790,1550,1820,1730,2029,2130,2310,1870,2380,2320,2480,2020,2350,2370,2460,1910,2070,2009
EVPCurrent,-20,230,290,330,310,50,350,360,340,40,360,410,370,40,290,350,350,100,300,290,320,100,320,330,310,260,290,300,300,330,320,380,320,360,330,380,390,420,340,450,430,470,590,780,890,640,520,580,580
EVEBITCurrent,-330,3410,3410,3990,4490,670,4970,4590,4960,560,30630,-10310,-6500,-410,-2510,-3550,-6380,-8310,4080,4210,7640,7070,-50730,-194290,19340,8189,9650,11560,9610,11890,8320,8490,5550,6300,10240,12970,15500,21840,8450,11440,11060,15470,9410,10040,11420,17720,-120490,-16350,-5310
EVEBITDACurrent,-260,2670,2800,3220,3530,530,3730,3530,3590,400,9470,-40920,-14790,-620,-3620,-5670,-16760,4890,2860,2920,4320,2100,12560,11360,6780,4320,4950,5550,5080,5880,4970,5410,3920,4450,6060,7450,8450,10470,5330,6770,6340,7540,5080,5540,5870,7180,10000,24050,-12340
DTAR,840,780,490,540,540,,560,580,600,,650,700,700,,610,600,610,,560,540,610,,640,650,680,600,580,600,600,610,630,640,610,630,650,680,660,660,660,680,680,700,680,690,670,700,530,560,670
CG,5770,3790,960,1170,1170,,1260,1380,1480,,1840,2300,2320,,1580,1510,1570,,1260,1200,1540,,1750,1830,2100,1500,1380,1520,1490,1550,1680,1810,1570,1700,1880,2140,1930,1940,1920,2080,2090,2300,2090,2200,2020,2370,2150,2830,12310
LDER,70,1000,310,290,270,,240,230,230,,520,610,670,,510,470,500,,440,420,470,,440,400,390,280,270,270,430,450,630,650,580,600,360,390,700,680,660,630,580,610,540,510,450,490,460,520,2300
PZAT,22530,1290,1080,1170,1530,,1950,1990,2180,,1230,1100,1130,,1320,1360,1360,,1280,1320,1280,,1550,1660,1710,1760,1740,1820,1090,1050,830,850,830,850,1600,1590,900,950,1060,1100,1190,1190,1280,1400,1400,1480,1650,1780,1810
PELDR,640,1480,1400,1420,1280,,1220,1250,1130,,1110,1070,1000,,1070,1070,1050,,1170,1180,1110,,990,980,950,1170,1180,1150,1330,1350,1410,1360,1480,1510,1190,1140,1410,1380,1310,1270,1270,1230,1310,1250,1300,1140,1670,1410,700
TSF,160,410,670,600,590,,550,520,500,,540,490,500,,580,580,590,,640,650,580,,520,490,450,510,530,500,580,570,610,590,610,590,470,440,580,570,570,530,510,490,500,470,480,440,360,300,180
ZKO,1110,1080,930,930,990,,1010,980,1060,,1250,1280,1400,,1340,1330,1380,,1220,1210,1260,,1340,1300,1280,1100,1090,1100,1080,1080,1100,1130,1040,1040,1080,1110,1120,1130,1170,1160,1130,1150,1090,1100,1080,1170,1170,1230,1430
OSF,660,790,1000,1020,1000,,1000,1010,980,,910,850,840,,960,970,960,,990,1000,960,,930,910,880,1000,1010,1000,1010,1000,950,940,980,980,950,910,930,920,920,900,910,880,930,910,970,900,1350,1130,300
NetDebt,38543000000,35979000000,57140000000,76978000000,77900000000,,87777000000,102492000000,100790000000,,105790000000,120983000000,104914000000,,72850000000,73451000000,75138000000,,68533000000,67900000000,77135000000,,84448000000,92907000000,103555000000,97464000000,90066000000,98187000000,94639000000,101420000000,104325000000,121492000000,118622000000,130136000000,133798000000,155295000000,145263000000,146645000000,142184000000,155375000000,158849000000,173007000000,163490000000,173158000000,167377000000,188834000000,132296000000,143914000000,138572000000
NetDebtEBITDA,7330,4470,4710,5760,6160,,5290,5480,5610,,14490,-66920,-22610,,-5120,-6730,-20300,,3560,3720,5830,,18010,16610,11240,7810,7250,8610,7510,8470,7390,7680,5970,6340,9340,11350,11500,13280,8090,8820,8640,10470,8160,8109,8220,10950,13790,33310,-16920
DebtFin,-1343000000,21478000000,26703000000,35446000000,37210000000,,54352000000,58481000000,56973000000,,61664000000,66492000000,61117000000,,43992000000,44351000000,44527000000,,37545000000,35747000000,39684000000,,41389000000,46022000000,44969000000,36394000000,35247000000,36997000000,37753000000,44123000000,43892000000,59293000000,50240000000,63763000000,59276000000,74410000000,79171000000,88057000000,66034000000,91748000000,88880000000,97013000000,74078000000,90650000000,91775000000,96002000000,68227000000,76258000000,73386000000
DebtFinEBITDA,-260,2670,2200,2650,2940,,3280,3130,3170,,8450,-36780,-13170,,-3090,-4059,-12030,,1950,1960,3000,,8820,8230,4880,2920,2840,3250,3000,3680,3110,3750,2530,3110,4140,5440,6270,7970,3760,5210,4840,5870,3700,4240,4510,5570,7110,17650,-8960
SP1,600,730,1070,1100,1010,,990,1020,920,,730,670,600,,710,730,700,,820,830,760,,690,700,680,910,930,910,930,930,870,830,940,940,870,820,830,820,780,780,810,770,850,830,890,770,1150,920,210
SP2,640,1460,1400,1420,1280,,1220,1250,1130,,1110,1070,1000,,1070,1070,1050,,1170,1180,1110,,990,980,950,1170,1180,1150,1330,1350,1410,1360,1480,1510,1190,1140,1410,1380,1310,1270,1270,1230,1310,1250,1300,1140,1670,1410,700
CAR,30,90,160,70,60,,70,40,40,,50,20,50,,130,60,80,,150,110,130,,90,30,30,30,40,20,80,40,160,40,50,40,50,20,20,10,40,10,50,10,50,10,10,10,30,10,20
QR,330,420,620,660,470,,460,500,360,,330,320,290,,390,350,280,,410,400,320,,250,200,210,300,250,270,280,320,400,350,340,390,310,310,390,410,370,390,400,370,360,310,320,330,230,230,130
CR,910,1260,1570,1440,1310,,1220,1220,1110,,1120,1070,1000,,1100,1090,1070,,1260,1280,1140,,990,980,960,1120,1140,1100,1300,1310,1450,1380,1520,1490,1140,1100,1400,1370,1310,1240,1230,1180,1230,1180,1190,1080,1090,1000,860
PP,30,90,160,90,70,,80,50,50,,60,20,50,,220,150,130,,150,110,130,,90,30,30,30,40,20,80,40,160,40,50,40,50,20,20,10,40,10,50,10,50,10,10,10,30,10,20
RCLR,290,330,440,570,390,,370,440,310,,260,290,230,,160,200,140,,220,260,180,,140,150,160,260,200,230,180,240,220,290,270,340,240,280,340,380,310,350,320,330,280,270,280,280,190,210,100
KP,-80,150,190,180,130,,100,100,60,,50,30,0,,40,40,30,,90,100,60,,0,-10,-20,60,70,50,130,130,180,160,200,200,70,60,170,160,130,110,110,90,120,90,100,40,40,0,-80
PKKO,-60,350,360,360,300,,330,340,140,,90,60,0,,60,60,40,,140,150,90,,0,-20,-40,90,90,70,190,200,290,260,330,330,110,90,250,230,210,200,210,180,350,310,350,110,90,0,-150
RN,7580,10170,6440,5900,5520,6160,5930,5960,5960,6040,6610,7320,8700,8230,9940,13930,18520,19260,18260,17670,16270,16120,17510,18370,17110,14800,13660,12320,12540,13310,13420,13150,12490,11340,10500,9540,8870,8320,8140,7840,7540,7170,4400,3950,3520,5020,5380,5710,7120
CRN,48000,36000,57000,62000,66000,59000,62000,61000,61000,60000,55000,50000,42000,44000,37000,26000,20000,19000,20000,21000,22000,23000,21000,20000,21000,25000,27000,30000,29000,27000,27000,28000,29000,32000,35000,38000,41000,44000,45000,47000,48000,51000,83000,92000,104000,73000,68000,64000,51000
CPZ,165000,109000,137000,142000,141000,126000,141000,152000,164000,162000,162000,172000,160000,169000,155000,131000,118000,114000,109000,102000,105000,106000,114000,128000,140000,137000,138000,140000,134000,129000,126000,120000,114000,114000,123000,137000,139000,144000,138000,134000,142000,154000,258000,306000,354000,258000,259000,261000,255000
RZ,2570,960,2210,1960,1430,2009,1040,1040,1270,950,1660,1590,1740,1670,1860,2160,2260,2340,2240,2250,2240,2250,2280,2070,1970,1990,1890,1860,1750,1690,1640,1600,1590,1570,1640,1610,1660,1660,1550,1520,1490,1420,920,800,730,1010,1010,1060,1230
CRZ,142000,379000,165000,187000,255000,182000,349000,350000,287000,384000,220000,230000,210000,219000,197000,169000,162000,156000,163000,162000,163000,162000,160000,176000,185000,184000,193000,196000,209000,216000,223000,227000,229000,233000,222000,226000,220000,221000,235000,240000,245000,257000,395000,457000,499000,362000,363000,344000,297000
RMO,2440,2660,2130,1940,1820,2029,1980,1930,1890,1910,1950,1930,2150,2029,2240,2630,2850,2960,2960,2980,2860,2830,2860,2770,2670,2630,2520,2420,2350,2330,2260,2240,2250,2190,2180,2100,2080,2050,2060,2050,2009,1920,1160,990,860,1210,1240,1280,1420
RMT,7530,6820,3850,2760,2230,2490,2500,2500,2490,2520,2460,2280,2340,2210,2270,2330,2340,2430,2430,2440,2460,2440,2530,2590,2680,2800,2850,2900,2900,2940,2940,2950,3040,3060,3160,3170,3150,3040,2940,2840,2810,2750,1760,1570,1400,1970,2110,2290,2600
RM,1840,1910,1370,1140,1000,1120,1100,1090,1070,1090,1090,1050,1120,1060,1130,1240,1280,1340,1340,1340,1320,1310,1340,1340,1340,1350,1330,1300,1280,1280,1260,1270,1290,1270,1290,1260,1250,1230,1210,1190,1170,1130,700,610,530,750,710,680,700
COP,190000,415000,222000,249000,321000,241000,411000,411000,348000,444000,275000,280000,252000,263000,234000,195000,182000,175000,183000,183000,185000,185000,181000,196000,206000,209000,220000,226000,238000,243000,250000,255000,258000,265000,257000,264000,261000,265000,280000,287000,293000,308000,478000,549000,603000,435000,431000,408000,348000
CSP,25000,306000,85000,107000,180000,115000,270000,259000,184000,282000,113000,108000,92000,94000,79000,64000,64000,61000,74000,81000,80000,79000,67000,68000,66000,72000,82000,86000,104000,114000,124000,135000,144000,151000,134000,127000,122000,121000,142000,153000,151000,154000,220000,243000,249000,177000,172000,147000,93000
