,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,,,,,,,,
QuoteCurrent_yy,,,,,,,,
QuoteCurrent_sy,,,,,,,,
QuoteCurrent_qq,,,,,,,,
QuoteCurrent_sq,,,,,,,,
ShareAmountCurrent,249425087000,249425087000,249425087000,249425087000,249425087000,249425087000,234244437000,234244437000
ShareAmountCurrent_yy,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,
WKCurrent,,,,,,,,
WKCurrent_yy,,21.64,9.08,4.21,0.68,-4.19,24.27,5.70
WKCurrent_sy,,,,,,,,
WKCurrent_qq,,,,,,,,
WKCurrent_sq,,,,,,,,
CWKCurrent,,,,,,,,
CWKCurrent_yy,,-17.79,-8.33,-4.04,-0.67,4.38,-19.53,-5.39
CWKCurrent_sy,,-34.00,-13.18,-14.75,44.44,-5.63,-1.29,23.32
CWKCurrent_qq,,,,,,,,
CWKCurrent_sq,,,,,,,,
WKGrahamCurrent,,,,,,,,
WKGrahamCurrent_yy,,28.06,12.24,3.19,-10.89,-23.50,28.86,5.09
WKGrahamCurrent_sy,,,,,,,,
WKGrahamCurrent_qq,,,,,,,,
WKGrahamCurrent_sq,,,,,,,,
CWKGrahamCurrent,,,,,,,,
CWKGrahamCurrent_yy,,-21.91,-10.90,-3.09,12.22,30.71,-22.40,-4.85
CWKGrahamCurrent_sy,,-21.66,-26.51,34.30,0.87,99.25,-32.10,33.95
CWKGrahamCurrent_qq,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,
PCurrent,,,,,,,,
PCurrent_yy,,22.39,-4.56,13.93,15.02,-0.58,-2.57,-0.31
PCurrent_sy,,,,,,,,
PCurrent_qq,,,,,,,,
PCurrent_sq,,,,,,,,
CPCurrent,,,,,,,,
CPCurrent_yy,,-18.29,4.78,-12.23,-13.06,0.59,2.63,0.32
CPCurrent_sy,,28.49,-5.92,56.37,-34.01,27.81,-14.02,14.95
CPCurrent_qq,,,,,,,,
CPCurrent_sq,,,,,,,,
ZCurrent,,,,,,,,
ZCurrent_yy,,48.23,-7.86,28.26,-17.63,-7.83,1.34,-50.02
ZCurrent_sy,,,,,,,,
ZCurrent_qq,,,,,,,,
ZCurrent_sq,,,,,,,,
CZCurrent,,,,,,,,
CZCurrent_yy,,-32.53,8.54,-22.04,21.40,8.50,-1.32,100.07
CZCurrent_sy,,0.58,-37.72,11.30,31.87,-9.53,104.80,-8.22
CZCurrent_qq,,,,,,,,
CZCurrent_sq,,,,,,,,
ZOCurrent,,,,,,,,
ZOCurrent_yy,,30.54,-9.33,21.53,10.79,-11.05,-4.66,2.88
ZOCurrent_sy,,,,,,,,
ZOCurrent_qq,,,,,,,,
ZOCurrent_sq,,,,,,,,
CZOCurrent,,,,,,,,
CZOCurrent_yy,,-23.39,10.28,-17.72,-9.74,12.43,4.89,-2.80
CZOCurrent_sy,,-26.34,-16.97,-12.17,70.32,-11.05,-2.75,-14.78
CZOCurrent_qq,,,,,,,,
CZOCurrent_sq,,,,,,,,
EVCurrent,,,,,,,,
EVCurrent_yy,,1.94,1.93,11.21,8.43,16.05,3.35,1.43
EVCurrent_sy,,,,,,,,
EVCurrent_qq,,,,,,,,
EVCurrent_sq,,,,,,,,
EVPCurrent,,,,,,,,
EVPCurrent_yy,,-16.71,6.81,-2.38,-5.73,16.73,6.08,1.74
EVPCurrent_sy,,33.05,52.65,11.35,-41.86,28.32,25.95,18.93
EVPCurrent_qq,,,,,,,,
EVPCurrent_sq,,,,,,,,
EVEBITCurrent,,,,,,,,
EVEBITCurrent_yy,,-21.91,12.42,-8.49,-2.13,30.48,8.40,-1.40
EVEBITCurrent_sy,,-71.94,390.52,-24.86,285.86,-27.68,-11.98,-39.46
EVEBITCurrent_qq,,,,,,,,
EVEBITCurrent_sq,,,,,,,,
EVEBITDACurrent,,,,,,,,
EVEBITDACurrent_yy,,-21.91,12.42,-8.49,-2.13,30.48,8.40,-1.40
EVEBITDACurrent_sy,,7.14,8.67,-9.78,77.45,-8.78,-5.33,-41.71
EVEBITDACurrent_qq,,,,,,,,
EVEBITDACurrent_sq,,,,,,,,
ROE,,,,,,,,
ROE_yy,,21.82,-15.51,23.07,-18.17,-3.83,-18.43,-52.70
ROE_sy,,-2.80,-1.44,9.02,-23.71,-51.03,7.63,63.00
ROE_qq,,,,,,,,
ROE_sq,,,,,,,,
ROA,,,,,,,,
ROA_yy,,31.35,-14.20,8.64,-28.23,-17.43,-9.82,-50.45
ROA_sy,,-40.95,3.77,22.11,-11.62,-48.93,-51.80,49.07
ROA_qq,,,,,,,,
ROA_sq,,,,,,,,
OPM,,,,,,,,
OPM_yy,,6.67,-4.98,6.67,-3.71,-10.53,-2.13,3.18
OPM_sy,,-105.88,5571.88,4.20,63.44,-44.18,-47.61,-13.65
OPM_qq,,,,,,,,
OPM_sq,,,,,,,,
ROS,,,,,,,,
ROS_yy,,21.07,-3.48,12.58,-28.36,-7.31,4.00,-49.89
ROS_sy,,4.62,-22.87,12.40,-60.90,7.59,-19.68,-10.26
ROS_qq,,,,,,,,
ROS_sq,,,,,,,,
RS,,,,,,,,
RS_yy,,2.60,-1.78,2.94,-1.52,-4.64,2.19,-0.25
RS_sy,,-173.67,187.73,461.32,105.43,11.46,-36.82,-15.23
RS_qq,,,,,,,,
RS_sq,,,,,,,,
GPM,,,,,,,,
GPM_yy,,6.76,-10.41,26.05,-26.79,6.57,-6.97,0.87
GPM_sy,,-19.39,-15.19,-3.35,-52.68,-11.80,-5.67,-14.87
GPM_qq,,,,,,,,
GPM_sq,,,,,,,,
RBS,,,,,,,,
RBS_yy,,2.49,-1.64,0.62,-2.04,1.39,3.65,0.11
RBS_sy,,-45.14,36.67,8.74,48.75,-1.70,2.05,5.87
RBS_qq,,,,,,,,
RBS_sq,,,,,,,,
ROPA,,,,,,,,
ROPA_yy,,15.62,-15.53,2.91,-3.44,-20.29,-15.21,1.87
ROPA_sy,,-200.00,735.94,-23.96,17.61,-41.48,5.63,-8.00
ROPA_qq,,,,,,,,
ROPA_sq,,,,,,,,
ZNPO,,,,,,,,
ZNPO_yy,,323.52,-60.52,-2997.84,102.88,31.74,9.98,-252.90
ZNPO_sy,,418.21,-4.20,-58.69,48.28,59.58,-130.60,19.22
ZNPO_qq,,,,,,,,
ZNPO_sq,,,,,,,,
ZFI,,,,,,,,
ZFI_yy,,-82.32,-59.49,61.29,-67.91,661.61,-53.94,412.14
ZFI_sy,,-10.17,13.48,-27.15,32.22,-29.60,34.35,-4.76
ZFI_qq,,,,,,,,
ZFI_sq,,,,,,,,
DTAR,,,,,,,,
DTAR_yy,,-6.09,-1.46,10.95,9.04,8.39,-4.96,-2.52
DTAR_sy,,84.42,-4.20,-13.67,3.49,8.21,-5.22,17.45
DTAR_qq,,,,,,,,
DTAR_sq,,,,,,,,
CG,,,,,,,,
CG_yy,,-12.82,-3.05,25.77,24.27,26.18,-14.01,-6.81
CG_sy,,127.74,19.41,-25.23,-5.09,7.72,-23.95,56.56
CG_qq,,,,,,,,
CG_sq,,,,,,,,
LDER,,,,,,,,
LDER_yy,,-10.30,-5.32,24.07,16.53,45.06,-13.42,-14.88
LDER_sy,,488.32,-45.45,-1.94,-14.00,13.36,-6.02,42.98
LDER_qq,,,,,,,,
LDER_sq,,,,,,,,
PZAT,,,,,,,,
PZAT_yy,,-9.93,-14.78,-21.77,-8.47,-34.36,-15.21,0.53
PZAT_sy,,-92.04,108.84,-18.85,-16.83,166.36,-81.82,-0.44
PZAT_qq,,,,,,,,
PZAT_sq,,,,,,,,
PELDR,,,,,,,,
PELDR_yy,,8.80,6.47,7.25,-20.31,-11.94,-4.31,-9.42
PELDR_sy,,25.67,25.24,-29.04,34.58,-35.86,20.45,-18.30
PELDR_qq,,,,,,,,
PELDR_sq,,,,,,,,
TSF,,,,,,,,
TSF_yy,,2.39,-0.83,-2.41,-5.06,6.55,1.27,-4.58
TSF_sy,,-6.83,-3.38,13.95,-1.90,-3.28,1.63,-3.37
TSF_qq,,,,,,,,
TSF_sq,,,,,,,,
ZKO,,,,,,,,
ZKO_yy,,-6.88,-2.40,9.68,11.50,11.67,-3.97,-1.54
ZKO_sy,,5.07,15.57,-2.33,4.37,13.14,-3.14,6.84
ZKO_qq,,,,,,,,
ZKO_sq,,,,,,,,
OSF,,,,,,,,
OSF_yy,,6.59,6.49,6.32,-17.87,-20.73,0.29,-2.24
OSF_sy,,23.95,30.60,-14.16,20.97,-21.61,22.16,24.93
OSF_qq,,,,,,,,
OSF_sq,,,,,,,,
NetDebt,370200000000,336100000000,380500000000,502400000000,534000000000,643500000000,725600000000,807900000000
NetDebt_yy,,,,,,,,
NetDebt_sy,,,,,,,,
NetDebt_qq,,,,,,,,
NetDebt_sq,,,,,,,,
NetDebtEBITDA,,,,,,,,
NetDebtEBITDA_yy,,-20.23,18.76,8.02,5.22,43.45,11.97,-1.12
NetDebtEBITDA_sy,,185.59,-21.70,-15.83,-1.83,-18.86,-34.53,8.31
NetDebtEBITDA_qq,,,,,,,,
NetDebtEBITDA_sq,,,,,,,,
DebtFin,280800000000,258600000000,286600000000,375900000000,409500000000,517000000000,579400000000,650300000000
DebtFin_yy,,,,,,,,
DebtFin_sy,,,,,,,,
DebtFin_qq,,,,,,,,
DebtFin_sq,,,,,,,,
DebtFinEBITDA,,,,,,,,
DebtFinEBITDA_yy,,-19.08,16.26,7.30,7.84,50.29,11.28,-0.33
DebtFinEBITDA_sy,,2760.75,66.11,-33.95,69.71,-24.56,-89.37,0.41
DebtFinEBITDA_qq,,,,,,,,
DebtFinEBITDA_sq,,,,,,,,
SP1,,,,,,,,
SP1_yy,,14.48,9.11,-3.06,-26.34,-29.01,4.44,-0.71
SP1_sy,,10.56,28.26,-21.31,-6.66,-18.28,29.87,-23.36
SP1_qq,,,,,,,,
SP1_sq,,,,,,,,
SP2,,,,,,,,
SP2_yy,,8.80,6.47,7.25,-20.31,-11.94,-4.31,-9.42
SP2_sy,,25.50,33.73,-29.01,34.58,-36.09,43.16,-31.01
SP2_qq,,,,,,,,
SP2_sq,,,,,,,,
CAR,,,,,,,,
CAR_yy,,-10.52,13.51,-25.71,110.54,-25.49,-1.21,-55.65
CAR_sy,,27.89,-57.71,99.00,-7.52,12.93,-18.37,-26.10
CAR_qq,,,,,,,,
CAR_sq,,,,,,,,
QR,,,,,,,,
QR_yy,,16.64,-4.38,-12.13,-22.98,31.33,6.77,-23.10
QR_sy,,6.87,9.74,-7.26,0.24,-13.14,27.61,-43.87
QR_qq,,,,,,,,
QR_sq,,,,,,,,
CR,,,,,,,,
CR_yy,,16.64,-4.38,-12.13,-22.98,31.33,6.77,-23.10
CR_sy,,1.38,4.02,-0.05,-1.73,28.36,-4.12,-35.92
CR_qq,,,,,,,,
CR_sq,,,,,,,,
PP,,,,,,,,
PP_yy,,39.46,-27.17,-6.06,80.59,-11.50,3.89,-54.84
PP_sy,,4.67,2.83,-14.58,-18.59,-5.82,-23.80,-55.63
PP_qq,,,,,,,,
PP_sq,,,,,,,,
RCLR,,,,,,,,
RCLR_yy,,15.73,-3.28,-12.35,-27.00,35.45,6.95,-21.16
RCLR_sy,,8.03,-37.50,11.71,101.12,-58.44,31.52,17.76
RCLR_qq,,,,,,,,
RCLR_sq,,,,,,,,
KP,,,,,,,,
KP_yy,,3.89,0.15,-1.41,-8.43,3.92,0.30,-6.79
KP_sy,,41.05,5.13,-19.37,6.49,-48.82,90.86,-46.41
KP_qq,,,,,,,,
KP_sq,,,,,,,,
PKKO,,,,,,,,
PKKO_yy,,2.50,7.55,3.93,-13.53,20.91,28.34,-5.22
PKKO_sy,,721.84,-305.26,-435.76,85.91,118.85,-820.73,205.52
PKKO_qq,,,,,,,,
PKKO_sq,,,,,,,,
RN,,,,,,,,
RN_yy,,8.30,-12.92,-4.42,8.16,-10.95,-12.61,-2.79
RN_sy,,-15.05,-49.35,55.81,-28.18,79.89,-24.41,-44.96
RN_qq,,,,,,,,
RN_sq,,,,,,,,
CRN,353000,326000,374000,391000,362000,406000,465000,478000
CRN_yy,,-7.65,14.72,4.55,-7.42,12.15,14.53,2.80
CRN_sy,,18.93,94.78,-35.89,39.44,-45.71,24.74,8.86
CRN_qq,,,,,,,,
CRN_sq,,,,,,,,
CPZ,63000,51000,60000,72000,91000,75000,80000,105000
CPZ_yy,,-19.05,17.65,20.00,26.39,-17.58,6.67,31.25
CPZ_sy,,-3.89,40.49,19.02,-19.13,19.61,-20.65,5.52
CPZ_qq,,,,,,,,
CPZ_sq,,,,,,,,
RZ,,,,,,,,
RZ_yy,,,,,,,,
RZ_sy,,,,,,,,
RZ_qq,,,,,,,,
RZ_sq,,,,,,,,
CRZ,,,,,,,,
CRZ_yy,,,,,,,,
CRZ_sy,,,,,,,,
CRZ_qq,,,,,,,,
CRZ_sq,,,,,,,,
RMO,,,,,,,,
RMO_yy,,7.46,-11.91,-4.66,2.51,-8.16,-12.46,-0.35
RMO_sy,,9.12,-39.11,-13.74,12.08,-1.47,1.83,-25.09
RMO_qq,,,,,,,,
RMO_sq,,,,,,,,
RMT,,,,,,,,
RMT_yy,,15.18,-4.53,5.98,-15.85,-26.34,-18.12,-6.35
RMT_sy,,7.87,-23.69,-15.95,9.98,-20.26,-46.00,26.77
RMT_qq,,,,,,,,
RMT_sq,,,,,,,,
RM,,,,,,,,
RM_yy,,8.40,-11.08,-3.56,0.25,-10.88,-13.36,-1.33
RM_sy,,2.76,-25.00,-9.08,11.69,-0.99,-31.95,-4.83
RM_qq,,,,,,,,
RM_sq,,,,,,,,
COP,,,,,,,,
COP_yy,,,,,,,,
COP_sy,,,,,,,,
COP_qq,,,,,,,,
COP_sq,,,,,,,,
CSP,,,,,,,,
CSP_yy,,,,,,,,
CSP_sy,,,,,,,,
CSP_qq,,,,,,,,
CSP_sq,,,,,,,,
