,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200
ShareAmountCurrent,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000,25750000000
WKCurrent,110,270,310,420,550,340,550,770,1000,550,840,1150,1500,800,1270,1730,2160,1220,1700,1760,2310
CWKCurrent,211840,85170,76040,55770,42510,68890,42360,30270,23280,42170,27740,20230,15460,29010,18290,13380,10730,19030,13650,13210,10050
WKGrahamCurrent,90,190,190,300,410,200,400,610,840,370,650,930,1260,530,980,1420,1830,860,1300,1310,1840
CWKGrahamCurrent,255960,125160,121920,78500,56520,116580,57580,37790,27620,62130,35900,24920,18350,43780,23760,16329,12710,26970,17790,17680,12640
PCurrent,210,430,640,740,820,980,1130,1280,1480,1650,1860,2060,2270,2480,2730,2960,3160,3310,3420,3470,3630
CPCurrent,109010,53410,36370,31540,28190,23660,20600,18080,15630,14080,12450,11260,10230,9350,8490,7830,7350,7000,6790,6680,6400
ZCurrent,90,220,320,380,430,500,610,720,820,920,990,1090,1210,1330,1510,1670,1740,1830,1850,1880,2000
CZCurrent,249330,105540,72840,61580,54100,46630,37880,32189,28280,25110,23330,21280,19100,17470,15320,13920,13300,12660,12570,12370,11610
ZOCurrent,120,280,400,470,530,620,770,900,1040,1150,1250,1360,1500,1650,1870,2070,2170,2330,2340,2380,2530
CZOCurrent,189830,84290,58020,49520,43550,37180,30280,25760,22400,20250,18510,17090,15470,14030,12420,11200,10700,9970,9900,9740,9160
EVCurrent,23130,23150,22990,22880,22750,22960,22830,22610,22400,22850,22550,22300,21960,22710,22270,21850,21480,22480,22010,22030,21520
EVPCurrent,108710,53290,36040,31110,27650,23410,20270,17620,15090,13860,12100,10830,9690,9150,8150,7380,6810,6780,6440,6340,5940
EVEBITCurrent,189300,84090,57500,48840,42710,36800,29790,25100,21630,19950,17990,16430,14650,13730,11920,10550,9910,9660,9390,9240,8490
EVEBITDACurrent,182400,81300,54900,46710,40930,35310,28650,24230,20880,19260,17390,15880,14170,13290,11560,10220,9580,9340,9050,8890,8160
DTAR,200,150,180,170,160,250,100,70,60,140,130,80,70,130,90,60,40,80,80,70,70
CG,240,180,220,210,190,340,110,80,70,160,150,90,70,140,100,60,40,90,90,80,70
LDER,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,
PZAT,157000,81790,86460,64220,89650,1590150,1587990,94530,71330,,,988090,1023460,1167150,1175990,,,,,,
PELDR,5800,3130,2660,3460,4040,2440,3780,5020,6350,,,5320,6340,2960,4350,,,,,,
TSF,800,850,820,830,840,750,900,930,940,,,920,930,880,910,,,,,,
ZKO,230,210,260,220,200,360,130,90,70,190,160,100,80,180,110,70,50,110,100,90,80
OSF,1320,650,690,770,820,880,480,450,460,600,700,510,500,530,480,400,320,380,440,360,400
NetDebt,-990000000,-3855048000,-3613141000,-6133353000,-8978827000,-3291236000,-8282778000,-13608835000,-19043012000,-6738302000,-13714340000,-20664052000,-29110313000,-9712469000,-20781629000,-31865545000,-41760997000,-15707800000,-26852926000,-26724212000,-39103832000
NetDebtEBITDA,-300,-530,-340,-490,-630,-200,-400,-570,-690,-220,-410,-570,-730,-220,-420,-580,-720,-250,-430,-420,-580
DebtFin,-1677000000,-1355234000,-5347396000,-8226779000,-11515507000,-6199029000,-9626890000,-15158080000,-20712261000,-9021040000,-16852926000,-23213934000,-31906735000,-12653421000,-23888048000,-34749564000,-44202069000,-18517552000,-30640813000,-30133807000,-43330881000
DebtFinEBITDA,-510,-180,-500,-650,-800,-370,-470,-630,-750,-300,-500,-640,-800,-290,-480,-630,-770,-300,-490,-470,-640
SP1,5800,3130,2660,3450,4040,2440,3780,5020,6350,3110,4400,5320,6340,2960,4350,5540,6410,3400,4290,3950,4880
SP2,5800,3130,2660,3460,4040,2440,3780,5020,6350,3110,4400,5320,6340,2960,4350,5540,6410,3400,4290,3950,4880
CAR,2440,1090,3090,3750,4290,2130,6340,9810,12450,3950,5370,9110,11410,4300,7690,12050,18110,6590,8090,8840,10250
QR,4400,4840,3840,4470,4940,2760,7830,11230,14000,5210,6300,10400,12640,5640,9100,13690,20250,8880,9860,10910,12180
CR,4400,4840,3840,4470,4940,2760,7830,11230,14000,5210,6300,10400,12640,5640,9100,13690,20250,8880,9860,10910,12180
PP,2440,4100,3090,3800,4350,2130,6450,9810,12450,3950,5370,9110,11410,4300,7690,12050,18110,6590,8090,8840,10250
RCLR,1200,730,690,660,590,630,1370,1390,1410,1180,900,1280,1230,1320,1390,1560,2110,2150,1690,2029,1920
KP,670,580,510,590,630,440,660,740,790,580,670,750,790,580,700,770,810,650,710,690,740
PKKO,4730,2520,1770,2240,2880,1190,2220,3730,4540,1780,2580,3240,3860,1450,2630,3640,4030,2020,2780,2840,4250
RN,6660,12370,11440,12070,15690,16750,16750,17340,18220,18320,19160,19030,19080,19030,18850,18870,18180,17050,15920,14590,13590
CRN,55000,30000,32000,30000,23000,22000,22000,21000,20000,20000,19000,19000,19000,19000,19000,19000,20000,21000,23000,25000,27000
CPZ,46000,41000,38000,37000,34000,34000,29000,24000,18000,15000,16000,17000,17000,16000,15000,14000,13000,12000,12000,13000,14000
RZ,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,
RMO,1810,1860,2560,2570,2510,2680,2700,2620,2520,2630,2650,2600,2500,2600,2640,2550,2430,2400,2330,2400,2470
RMT,11280,4990,6330,6740,6940,7720,8370,9000,10030,10450,11020,11140,11070,10880,10780,10660,10410,10180,9720,9040,8670
RM,1560,1350,1820,1860,1840,1990,2040,2029,2020,2100,2140,2110,2040,2100,2120,2060,1970,1940,1880,1900,1920
COP,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,
